directorio,secuencia_p,orden,fex_per,ide16,ide5,ide14__1,ide14__2,ide14__3,ide14__4,ide14__5,ide14__6,ide14_2,ide14_3,ide15__1,ide15__2,ide15__3,ide15__4,ide15__5,ide15__6,ide15__7,ide15__8,ide9,ch5__1,ch5__2,ch5__3,ch5__4,ch5__5,ch5__6,ch5__7,ch5__8,ch6,estado,mpio,sm1,sm2,sm3,sm4,sm14,mi27,mi27_1,sm5,sm6,sm7,sm8,sm15,sm16__1,sm16__2,sm16__3,sm16__4,sm16__5,sm16__6,sm17,sd1,ml17,ml18,ml20,sd2,sd3,sd4,sd5,ml21,ml15,ml16__1,ml16__2,ml16__3,ml16__4,ml16__5,ml16__6,ml16__7,ml32__1,ml32__2,ml32__3,ml32__4,ml32__5,ml32__6,ml32__7,ml32__8,ml5,ml6,ml7,ml3_19,ml3_18,ml31,ir7,pd1,pd2,pd3__1,pd3__2,pd3__3,pd3__4,pd3__5,pd3__6,pd3__7,pd3__8,pd3__9,pd3__10,pd3__11,pd4,pd5,pd6,pd7,ide10
7510573,1,2,68.05321319339272,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,12.0,,,,,,,,,2,0,0,0,1,1,0,0,0,3,16,1610,2019,3,2019,3,6,2,,1,1,8.0,,2,,,,,,,2,2,1,1.0,,2,2,,,4,2,,,,,,,,,,,,,,,,4,,,,,1,2,2,,,,,,,,,,,,,1,2,3,7,2
7510573,1,3,68.05321319339272,1,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,12.0,,,,,,,,,2,0,1,1,0,0,0,0,0,3,16,1610,2020,4,2020,4,4,2,,1,1,8.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,1.0,,2,2,,,3,2,,,,,,,,,,,,,,,,3,,,,,1,2,2,,,,,,,,,,,,,1,2,4,6,1
7510583,1,2,68.05321319339272,1,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,11.0,,,,,,,,,2,0,0,1,1,1,1,0,0,3,25,2513,2019,5,2019,5,2,2,,1,1,8.0,,2,,,,,,,2,2,1,1.0,,2,2,,,4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,4,,,,,1,2,2,,,,,,,,,,,,,1,2,3,7,2
7510583,1,3,68.05321319339272,2,,,,,,,,,,,,,,,,,,2,0,1,1,0,0,1,0,0,3,25,2513,2006,3,2022,4,5,2,,1,1,8.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,2,2,,1.0,2,2,,,3,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,2,,,,,1,2,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2,4,6,1
7510583,1,4,74.64113240513984,2,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,3,25,2513,2019,3,2019,3,5,2,,1,1,2.0,,1,1.0,1.0,0.0,0.0,0.0,0.0,2,1,1,1.0,,2,2,,,3,2,,,,,,,,,,,,,,,,3,,,,,2,2,1,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4,4,1
7510607,1,1,824.4732789080508,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,12.0,,,,,,,,,1,0,0,0,1,1,0,0,0,2,25,2510,2017,13,2017,13,6,2,,1,1,4.0,,2,,,,,,,2,2,1,1.0,,2,2,,,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,1,5.0,9.0,1.0,50.0,1,2,2,,,,,,,,,,,,,1,3,4,7,2
7510607,1,2,68.05321319339272,1,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,12.0,,,,,,,,,2,0,0,0,1,0,0,0,0,2,25,2510,2019,13,2025,13,6,2,,1,1,8.0,,1,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,1.0,,2,2,,,4,2,,,,,,,,,,,,,,,,4,,,,,1,2,2,,,,,,,,,,,,,2,4,4,4,2
7510610,1,1,74.64113240513984,1,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,3.0,,,,,,,,,1,0,0,0,1,1,0,0,0,2,1,101,2021,9,2021,3,6,2,,1,1,7.0,,2,,,,,,,2,2,1,1.0,,2,2,,,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,1,5.0,9.0,1.0,72.0,1,2,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,2,7,2
7510610,1,2,68.05321319339272,1,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,7.0,,,,,,,,,2,0,0,0,1,1,0,0,0,2,1,101,2021,9,2021,9,6,2,,1,1,4.0,,2,,,,,,,2,2,1,1.0,,2,2,,,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,2,,,,,1,2,2,,,,,,,,,,,,,1,3,3,1,2
7510687,1,1,416.0436483476486,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0,,,,,,,,,1,0,0,0,0,0,1,0,0,1,6,605,2019,13,2019,13,6,2,,2,1,8.0,,1,0.0,1.0,0.0,1.0,0.0,0.0,2,2,2,,1.0,2,2,,,1,2,,,,,,,,,,,,,,,,1,2.0,2.0,1.0,50.0,1,1,2,,,,,,,,,,,,,2,2,4,4,2
